,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,0,yes,0,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-1,yes,-1,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr1,Carey2010,4,yes,4,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr1,Carey2010,-3,yes,-3,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr1,Carey2010,3,yes,3,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr1,Carey2010,0,yes,0,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,4,yes,4,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,4,yes,4,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,-4,yes,-4,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,4,yes,4,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,7,yes,7,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,0,yes,0,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,9,yes,9,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-3,yes,-3,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-2,yes,-2,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,7,yes,7,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr2,Carey2010,10,yes,10,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr2,Carey2010,6,yes,6,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,11,yes,11,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,0,yes,0,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,6,yes,6,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-2,yes,-2,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-1,yes,-1,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,12,yes,12,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,0,yes,0,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,8,yes,8,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-1,yes,-1,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-1,yes,-1,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,10,yes,10,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-3,yes,-3,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,27,yes,27,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,12,yes,12,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,0,yes,0,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-1,yes,-1,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-2,yes,-2,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,0,yes,0,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,170,yes,170,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,257,yes,257,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,24,yes,24,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-3,yes,-3,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,6,yes,6,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,6,yes,6,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,201,yes,201,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,75,yes,75,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,118,yes,118,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,116,yes,116,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,29,yes,29,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,11,yes,11,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,0,yes,0,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,254,yes,254,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,111,yes,111,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,39,yes,39,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,26,yes,26,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,42,yes,42,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,0,yes,0,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-5,yes,-5,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,15,yes,15,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-1,yes,-1,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,31,yes,31,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,35,yes,35,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-1,yes,-1,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,1,yes,1,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,10,yes,10,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,6,yes,6,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,17,yes,17,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,4,yes,4,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,14,yes,14,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,8,yes,8,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,5,yes,5,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,8,yes,8,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,10,yes,10,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,7,yes,7,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-2,yes,-2,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-2,yes,-2,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,-4,yes,-4,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr2,Carey2010,4,yes,4,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr2,Carey2010,2,yes,2,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr2,Carey2010,3,yes,3,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,0,yes,0,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,3,yes,3,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,2,yes,2,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,-4,yes,-4,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,2,yes,2,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,4,yes,4,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,0,yes,0,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,3,yes,3,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,3,yes,3,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,5,yes,5,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr3,Carey2010,5,yes,5,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr3,Carey2010,8,yes,8,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,12,yes,12,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,-7,yes,-7,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,7,yes,7,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
